gender,occupation,party,ep_date,name,bio
0,JOURNALIST,,2011-09-12,JOE HILDEBRAND,"Joe Hildrebrand submitted the following biography: 
Joe is a writer for 
 and 
 who specialises in speaking on subjects he knows nothing about.
Despite being a hugely skilled journalist and an online sensation, he is still dogged by rumours that he rose to the top due to his good looks alone."
0,JOURNALIST,,2012-02-06,JOE HILDEBRAND,"Joe Hildrebrand submitted the following biography: 
Joe is a writer for 
 and 
 who specialises in speaking on subjects he knows nothing about.
Despite being a hugely skilled journalist and an online sensation, he is still dogged by rumours that he rose to the top due to his good looks alone."
0,JOURNALIST,,2012-06-18,JOE HILDEBRAND,"Joe Hildrebrand submitted the following biography: 
Joe is a writer for 
 and 
 who specialises in speaking on subjects he knows nothing about.
Despite being a hugely skilled journalist and an online sensation, he is still dogged by rumours that he rose to the top due to his good looks alone."
0,POLITICIAN,LIBERAL,2009-02-19,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team and now, as the new shadow treasurer, he has the challenge of beating Labor on the crucial battleground of the economy.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian. 
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
In Opposition Joe served as shadow health minister and then shadow finance minister before taking over as shadow treasurer on February 16 following the resignation of Julie Bishop.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have two children, Xavier and Adelaide."
0,POLITICIAN,LIBERAL,2009-05-14,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team and now, as the shadow treasurer, he has the challenge of beating Labor on the crucial battleground of the economy.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian. 
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
In Opposition Joe served as shadow health minister and then shadow finance minister before taking over as shadow treasurer on February 16 following the resignation of Julie Bishop.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have two children, Xavier and Adelaide."
0,POLITICIAN,LIBERAL,2009-09-17,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian. 
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have two children, Xavier and Adelaide."
0,POLITICIAN,LIBERAL,2009-11-05,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian. 
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and a brand new arrival, Ignatius."
0,POLITICIAN,LIBERAL,2010-04-12,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2010-05-17,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2011-03-07,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy. Well-known as a moderate within the Liberal Party, Joe has occasionally been at odds with his colleagues on some fundamental philosophical issues and is seen by many as a future leadership contender.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2011-06-27,JOE HOCKEY,"Joe Hockey has had to shoulder a big share of responsibility in the Opposition since the coalition lost office in 2007 and some big names left the frontline. Joe is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy. Well-known as a moderate within the Liberal Party, Joe has occasionally been at odds with his colleagues on some fundamental philosophical issues and is seen by many as a future leadership contender.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2012-02-06,JOE HOCKEY,"Joe Hockey is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy. Well-known as a moderate within the Liberal Party, Joe has occasionally been at odds with his colleagues on some fundamental philosophical issues and is seen by many as a future leadership contender.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2012-05-14,JOE HOCKEY,"Joe Hockey is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy. Well-known as a moderate within the Liberal Party, Joe has occasionally been at odds with his colleagues on some fundamental philosophical issues and is seen by many as a future leadership contender.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2013-08-19,JOE HOCKEY,"Joe Hockey is a key member of the Opposition strategy team, and as shadow treasurer he has the challenge of beating Labor on the crucial battleground of the economy. Well-known as a moderate within the Liberal Party, Joe has occasionally been at odds with his colleagues on some fundamental philosophical issues and is seen by many as a future leadership contender.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2014-05-19,JOE HOCKEY,"Joe Hockey faces the biggest test of his long political career with his historic first Budget. He is hoping to convince voters that the state of the countryÌâåÕs books justifies strong corrective measures, but the Government will no doubt suffer politically if the electorate is unconvinced that such measures are needed or thinks the Coalition broke promises it made at last yearÌâåÕs election.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry in the Howard government was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2015-03-16,JOE HOCKEY,"Joe Hockey, having faced the biggest test of his long political career with his first Budget a year ago, has had a much better time of it with his second effort released earlier this month.
Instead of spending cuts, pension changes and a Medicare co-payment there were popular tax breaks for small business and a much-praised childcare package. There was no sign of the voter backlash that followed the 2014 Budget. Instead the Government has seen its poll numbers rise to the point where it is once again competitive against the Labor Opposition.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry in the Howard government was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,POLITICIAN,LIBERAL,2015-05-25,JOE HOCKEY,"Joe Hockey, having faced the biggest test of his long political career with his first Budget a year ago, has had a much better time of it with his second effort released earlier this month.
Instead of spending cuts, pension changes and a Medicare co-payment there were popular tax breaks for small business and a much-praised childcare package. There was no sign of the voter backlash that followed the 2014 Budget. Instead the Government has seen its poll numbers rise to the point where it is once again competitive against the Labor Opposition.
Joe was born in Sydney in 1965 and has a different background from many of his parliamentary colleagues. His father, Richard, was born in Palestine of Armenian background, and came to Australia in 1948. The familyÌâåÕs original name was Hokeidonian.
Joe graduated in arts and law from the University of Sydney, where he was active in the Young Liberals. He worked as a banking and finance lawyer, then as Director of Policy to the Liberal Premier of NSW, John Fahey.
He won the seat of North Sydney for the Liberal Party in 1996, following the retirement of well-known Independent Ted Mack. He joined the Howard ministry in 1998 as Minister for Financial Services and Regulation. His last ministry in the Howard government was in the Employment and Workplace Relations portfolio, which he held while the coalition was fighting an intense political battle over its contentious industrial relations policy, WorkChoices.
Joe and his wife Melissa Babbage live in the Sydney suburb of Hunters Hill. They have three children, Xavier, Adelaide and Ignatius."
0,OTHER,,2014-08-04,JOE MORRISON,"Joe Morrison, CEO of the Northern Land Council, was born and raised in Katherine and has Dagoman and Torres Strait Islander heritage.
After growing up and going to school in Katherine, he gained a BA from the University of Sydney in natural resource management and set about working with Aboriginal and Torres Strait Islanders to establish land and sea management efforts across northern Australia.
JoeÌâåÕs first job after leaving school was at the Northern Land Council from 1992-94. He worked first at the old mechanical workshop at Coconut Grove, then moved into administration at the NLC's Registry Office.
He then moved on to Greening Australia where he helped to establish the Aboriginal Landcare Education Program, designing living areas on Aboriginal communities.
In 1998 Joe began work with Northern Territory Parks and Wildlife as a land management facilitator, establishing land and sea ranger groups in south-east Arnhem Land and elsewhere.
Two years later he became founding CEO of the North Australian Indigenous Land and Sea Management Alliance. Joe nurtured the development of NAILSMA from a small unit within a large western science-focused research institution to a nationally recognised Aboriginal institution operating across tropical northern Australia.
Joe has an ambitious agenda for his new role as NLC CEO, connecting with the NLC's constituency to reinvigorate the importance of maintaining control over the lands and waters that Aboriginal people have fought hard for and to work towards appropriate social, cultural and economic development that creates lasting employment opportunities in a post determination era.
Joe has authored and co-authored many articles relating to Indigenous rights, management of country, economic development and of northern development.
He has a young family and has lived in Darwin since 2001."
0,POLITICIAN,LABOR,2012-07-16,JOEL FITZGIBBON,"Joel Fitzgibbon is the Government's Chief Whip. He has been the member for Hunter, a rural electorate in NSWÌâåÕs Hunter Valley, since 1996, having succeeded his father who held the seat for 12 years. He has lived in Cessnock, a town within the Hunter electorate, all his life.
In 1978, after leaving school, Joel completed an apprenticeship as an automotive electrician. He then ran his own small business for the next ten years. He also served eight years as a Councillor on Cessnock City Council, including a term as Deputy Mayor.
Joel has continued his studies as a mature age student, and in 2004 completing a Graduate Certificate in Business Administration at the University of Newcastle.
Since his election to parliament Joel has held a variety of different positions in government and opposition. He was a senior front-bencher in the Rudd government until 2009, when he was forced to resign as Minister for Defence for a breach of the ministerial code of conduct."
0,POLITICIAN,LABOR,2013-10-28,JOEL FITZGIBBON,"Joel Fitzgibbon has been the member for Hunter, a rural electorate in NSWÌâåÕs Hunter Valley, since 1996, having succeeded his father who held the seat for 12 years. He has lived in Cessnock, a town within the Hunter electorate, all his life.
In 1978, after leaving school, Joel completed an apprenticeship as an automotive electrician. He then ran his own small business for the next ten years. He also served eight years as a Councillor on Cessnock City Council, including a term as Deputy Mayor.
Joel has continued his studies as a mature age student, and in 2004 completed a Graduate Certificate in Business Administration at the University of Newcastle.
Since his election to parliament Joel has held a variety of different positions in government and opposition. He was a senior front-bencher in the Rudd government until 2009, when he was forced to resign as Minister for Defence for a breach of the ministerial code of conduct. He then became Chief Government Whip and briefly returned to the ministry in the Agriculture portfolio before Labor lost the election. He is now shadow minister for agriculture."
0,POLITICIAN,LABOR,2015-03-23,JOEL FITZGIBBON,"Joel Fitzgibbon has been the member for Hunter, a rural electorate in NSWÌâåÕs Hunter Valley, since 1996, having succeeded his late father Eric who held the seat for 12 years. He has lived in Cessnock, a town within the Hunter electorate, all his life.
In 1978, after leaving school, Joel completed an apprenticeship as an automotive electrician. He then ran his own small business for the next ten years. He also served eight years as a Councillor on Cessnock City Council, including a term as Deputy Mayor.
Since his election to parliament Joel has held a variety of different positions in government and opposition. He was a senior front-bencher in the Rudd government until 2009, when he was forced to resign as Minister for Defence for a breach of the ministerial code of conduct. He then became Chief Government Whip and briefly returned to the ministry in the Agriculture portfolio before Labor lost the election. He is now shadow minister for agriculture."
0,POLITICIAN,LABOR,2015-06-22,JOEL FITZGIBBON,"Joel Fitzgibbon has been the member for Hunter, a rural electorate in NSWÌâåÕs Hunter Valley, since 1996, having succeeded his late father Eric who held the seat for 12 years. He has lived in Cessnock, a town within the Hunter electorate, all his life.
In 1978, after leaving school, Joel completed an apprenticeship as an automotive electrician. He then ran his own small business for the next ten years. He also served eight years as a Councillor on Cessnock City Council, including a term as Deputy Mayor.
Since his election to parliament Joel has held a variety of different positions in government and opposition. He was a senior front-bencher in the Rudd government until 2009, when he was forced to resign as Minister for Defence for a breach of the ministerial code of conduct. He then became Chief Government Whip and briefly returned to the ministry in the Agriculture portfolio before Labor lost the election. He is now shadow minister for agriculture."
0,POLITICIAN,LIBERAL,2012-07-30,JOHN ALEXANDER,"Few politicians come to Parliament via the route chosen by John Alexander ÌâåÐ nearly 20 years on the professional tennis circuit, followed by a successful business career.
John, who defeated Labor's Maxine McKew in the 2010 election to secure the Sydney seat of Bennelong for the Liberals, toured the world as a tennis player from the late-1960s to the mid-1980s. Along the way he won seven singles titles and 27 doubles titles and represented Australia in the Davis Cup from 1968 to 1983. As a doubles player, usually with Phil Dent, he won the Australian Open twice and was runner-up in the French Open and Wimbledon.
After retiring from tennis he captained the Australian Fed Cup team, worked as a television commentator for more than 20 years and became involved in building sport and fitness clubs.
His victory in Bennelong was a huge morale boost for the Liberals, who were shattered in 2007 when Maxine McKew defeated the incumbent Prime Minister, John Howard, who had held it for 33 years."
0,OTHER,,2015-03-16,JOHN DALEY,"John Daley is the inaugural Chief Executive of Grattan Institute, which provides independent, rigorous and practical solutions to AustraliaÌâåÕs most pressing public policy issues. The current programs of Grattan Institute focus on productivity growth, cities, school education, tertiary education, energy and health. 
JohnÌâåÕs work at Grattan Institute has focused on economic and budgetary reform. He is particularly interested in government prioritisation. His other interests include analysing the situations in which government intervention is justified, and the limits to government.
He has 25 yearsÌâåÕ experience spanning policy, academic, government and corporate roles. He has worked for the Victorian Department of Premier and Cabinet, McKinsey and Co, and ANZ where he was Managing Director of the online stockbroker, E*TRADE Australia.
John completed an LLB (Hons) and a BSc at the University of Melbourne in 1989, and a doctorate in public law at the University of Oxford in 1999."
0,EX-POLITICIAN,LABOR,2011-03-28,JOHN DELLA BOSCA,"John Della Bosca joined the Labor Party in 1973 and became a member of the the NSW Legislative Council in 1999. Held in high regard by the party, within a month of his election Premier Bob Carr appointed him Special Minister of State. 
Throughout his decade-long parliamentary career John was responsible for a range of high-profile portfolios, including Education and Training, Industrial Relations and Health.
But towards the end of his career his name became synonymous with controversy. 
In May 2008 he lost his driverÌâåÕs licence after being caught speeding in his ministerial car for the seventh time. A month later he and his wife, Federal Labor MP Belinda Neal, were at the centre of the ÌâåÒIguanagateÌâåÓ affair, which rocked the Labor Party. By August his career came to an abrupt end when he resigned from politics amid revelations he had an affair with a 26-year-old woman.
John is now leading a campaign on behalf of the National Disability and Carers Alliance to establish a national disability insurance scheme."
0,OTHER,,2013-02-18,JOHN DICKSON,"Dr John Dickson began his career as singer/songwriter for Aussie rock band In The Silence, touring and recording for seven years before temporarily giving music away to focus on academic studies and a wide-ranging career as a speaker and author.
With an honours degree in theology and a PhD in ancient history John is also a Honorary Fellow of the Department of Ancient History, Macquarie University. He also teaches a course on the Historical Jesus for the Department of Jewish Studies at the University of Sydney and is committed to delivering creative, engaging content grounded in careful thought.
JohnÌâåÕs first book appeared in 1993 and he has since produced a dozen titles, including the award-winning 
, the recent 
 and a number more academic works. His book 
 was made into a major television documentary which aired nationally on Channel 7 in March 2008. 
John is also Co-Director (with Simon Smart) of the Centre for Public Christianity, an independent research and media company promoting informed discussion about social, ethical and religious issues in modern life. Prime Minister Kevin Rudd praised CPX as ÌâåÒa welcome development in the spiritual and intellectual life of Australia.ÌâåÓ
A busy public speaker John delivers over 100 talks a year in a range of contexts, including corporations, conferences, churches, pubs and universities. In addition to his passion for promoting the public understanding of the Christian faith, John is also fascinated by the paradoxical connection between high-level achievement and the historical virtues of compassion and humility, themes explored in his professional keynote address and seminar 
 and in his latest book by the same name.
He values his family role above all others and lives in Sydney, with his wife and three children."
0,COMIC,,2010-03-22,JOHN DOYLE,"John Doyle is one of AustraliaÌâåÕs finest writers for stage and screen. His work spans the theatrical success of 
 for the Sydney Theatre Company to the small screen acclaim of series such as 
 for the ABC.
John Doyle started life as a jobbing actor in 1980 appearing in productions with the Hunter Valley Theatre, the Sydney Theatre Company and the State Theatre of South Australia before creating the character of Roy Slaven for ABC radio's Triple J in 1985. Roy has appeared with HG Nelson continuously on 
 on radio since 1986, including appearances on television with 
 and 
. Roy and HG currently co-host 
 on the Triple M radio network.
John has been honoured by the Australian Writers Guild for comedy on eight occasions and for both his mini-series, 
 and 
. 
 won a Logie Award for Most Outstanding Comedy; 
 a Logie for Most Popular Comedy and 
, the Logie for Most Outstanding Drama. 
 received a 2004 Logie nomination for Most Outstanding Mini-series/Telemovie, a 2004 AFI award for Best Screenplay in Television and the 2004 NSW Premier's Literary Award for Script Writing. John also received a 2004 Logie nomination for 
 for most Popular Sports Program and a 2005 LOGIE Nomination for Most Popular Sports Program for The Dream In Athens.
In 2006 John joined Dr Tim Flannery for the documentary 
 which explored the degradation of the Murray Darling River system. 
 won the 2006 SPAA Award for best documentary. 
In 2008, John again joined Dr Tim Flannery for a second documentary series, 
 which was nominated for Most Outstanding Factual Program at this yearÌâåÕs Logie Awards."
0,BUSINESSPERSON,LIBERAL,2009-04-16,JOHN ELLIOTT,"John Elliott, a dominant figure in Australian public life for more than 30 years, has brought his unique and inimitable approach to three different fields of human endeavour: business, politics and Australian Rules football. In all three he has had many successes but has also known great adversity and disappointment.
Born in Melbourne in 1941, he attended Carey Grammar and then Melbourne University where he attained an honours degree in Commerce and a Masters in Business Administration. He worked in business until 1972 when he formed a consortium to buy the IXL food group. After a 1981 merger this became the giant Elders IXL and John, as managing director, was in charge of AustraliaÌâåÕs largest private exporter of agricultural products. Elders then concentrated on brewing, and by 1990 owned enough international brewing companies to be the fourth biggest brewer in the world.
As JohnÌâåÕs business empire was expanding so was his influence in other fields. He became president of the Carlton Football Club in 1983 and remained for 20 years that included two premierships. And in 1987 he became Federal President of the Liberal Party. During these years he was widely regarded as a potential Prime Minister.
But problems on the business front took their toll. In 1990 John left Elders and his term as Liberal president ended. In 2002, after Carlton was found to have breached salary cap rules, he was sacked as club president; and in 2005, having earlier been found to have traded while insolvent, he declared himself bankrupt.
He is now involved in a private company concentrating on agricultural exports and evaluating new business ideas. And this month he started his own website and blog, the 
."
0,BUSINESSPERSON,LIBERAL,2009-10-22,JOHN ELLIOTT,"John Elliott, a dominant figure in Australian public life for more than 30 years, has brought his unique and inimitable approach to three different fields of human endeavour: business, politics and Australian Rules football. In all three he has had many successes but has also known great adversity and disappointment.
Born in Melbourne in 1941, he attended Carey Grammar and then Melbourne University where he attained an honours degree in Commerce and a Masters in Business Administration. He worked in business until 1972 when he formed a consortium to buy the IXL food group. After a 1981 merger this became the giant Elders IXL and John, as managing director, was in charge of AustraliaÌâåÕs largest private exporter of agricultural products. Elders then concentrated on brewing, and by 1990 owned enough international brewing companies to be the fourth biggest brewer in the world.
As JohnÌâåÕs business empire was expanding so was his influence in other fields. He became president of the Carlton Football Club in 1983 and remained for 20 years that included two premierships. And in 1987 he became Federal President of the Liberal Party. During these years he was widely regarded as a potential Prime Minister.
But problems on the business front took their toll. In 1990 John left Elders and his term as Liberal president ended. In 2002, after Carlton was found to have breached salary cap rules, he was sacked as club president; and in 2005, having earlier been found to have traded while insolvent, he declared himself bankrupt.
He is now involved in a private company concentrating on agricultural exports and evaluating new business ideas. This year he started his own website and blog, the 
."
0,BUSINESSPERSON,LIBERAL,2010-07-12,JOHN ELLIOTT,"John Elliott, a dominant figure in Australian public life for more than 30 years, has brought his unique and inimitable approach to three different fields of human endeavour: business, politics and Australian Rules football. In all three he has had many successes but has also known great adversity and disappointment.
Born in Melbourne in 1941, he attended Carey Grammar and then Melbourne University where he attained an honours degree in Commerce and a Masters in Business Administration. He worked in business until 1972 when he formed a consortium to buy the IXL food group. After a 1981 merger this became the giant Elders IXL and John, as managing director, was in charge of Australia's largest private exporter of agricultural products. Elders then concentrated on brewing, and by 1990 owned enough international brewing companies to be the fourth biggest brewer in the world.
As John's business empire was expanding so was his influence in other fields. He became president of the Carlton Football Club in 1983 and remained for 20 years that included two premierships. And in 1987 he became Federal President of the Liberal Party. During these years he was widely regarded as a potential Prime Minister.
But problems on the business front took their toll. In 1990 John left Elders and his term as Liberal president ended. In 2002, after Carlton was found to have breached salary cap rules, he was sacked as club president; and in 2005, having earlier been found to have traded while insolvent, he declared himself bankrupt.
He is now involved in a private company concentrating on agricultural exports and evaluating new business ideas. He has his own website and blog, the"
